SubsetID,ClassID,ClassName_tr,ClassName_eng,UserID,RepeatID,Negativity
General,0036,Arkadas,Friend,User_2,001,0
General,0036,Arkadas,Friend,User_2,002,0
General,0036,Arkadas,Friend,User_2,003,0
General,0036,Arkadas,Friend,User_2,004,0
General,0036,Arkadas,Friend,User_2,005,0
General,0036,Arkadas,Friend,User_2,006,0
General,0036,Arkadas,Friend,User_3,001,0
General,0036,Arkadas,Friend,User_3,002,0
General,0036,Arkadas,Friend,User_3,003,0
General,0036,Arkadas,Friend,User_4,001,0
General,0036,Arkadas,Friend,User_4,002,0
General,0036,Arkadas,Friend,User_4,003,0
General,0036,Arkadas,Friend,User_4,004,0
General,0036,Arkadas,Friend,User_4,005,0
General,0036,Arkadas,Friend,User_5,001,0
General,0036,Arkadas,Friend,User_5,002,0
General,0036,Arkadas,Friend,User_5,003,0
General,0036,Arkadas,Friend,User_5,004,0
General,0036,Arkadas,Friend,User_5,005,0
General,0036,Arkadas,Friend,User_5,006,0
General,0036,Arkadas,Friend,User_6,001,0
General,0036,Arkadas,Friend,User_6,002,0
General,0036,Arkadas,Friend,User_6,003,0
General,0036,Arkadas,Friend,User_6,004,0
General,0036,Arkadas,Friend,User_6,005,0
General,0036,Arkadas,Friend,User_6,006,0
General,0036,Arkadas,Friend,User_7,001,0
General,0036,Arkadas,Friend,User_7,002,0
General,0036,Arkadas,Friend,User_7,003,0
General,0036,Arkadas,Friend,User_7,004,0
General,0036,Arkadas,Friend,User_7,005,0
General,0070,Begenmek,Like,User_2,001,0
General,0070,Begenmek,Like,User_2,002,0
General,0070,Begenmek,Like,User_2,003,0
General,0070,Begenmek,Like,User_2,004,0
General,0070,Begenmek,Like,User_2,005,0
General,0070,Begenmek,Like,User_2,006,0
General,0070,Begenmek,Like,User_3,001,0
General,0070,Begenmek,Like,User_3,002,0
General,0070,Begenmek,Like,User_3,003,0
General,0070,Begenmek,Like,User_4,001,0
General,0070,Begenmek,Like,User_4,002,0
General,0070,Begenmek,Like,User_4,003,0
General,0070,Begenmek,Like,User_4,004,0
General,0070,Begenmek,Like,User_4,005,0
General,0070,Begenmek,Like,User_5,001,0
General,0070,Begenmek,Like,User_5,002,0
General,0070,Begenmek,Like,User_5,003,0
General,0070,Begenmek,Like,User_5,004,0
General,0070,Begenmek,Like,User_5,005,0
General,0070,Begenmek,Like,User_5,006,0
General,0070,Begenmek,Like,User_6,001,0
General,0070,Begenmek,Like,User_6,002,0
General,0070,Begenmek,Like,User_6,003,0
General,0070,Begenmek,Like,User_6,004,0
General,0070,Begenmek,Like,User_6,005,0
General,0070,Begenmek,Like,User_6,006,0
General,0070,Begenmek,Like,User_7,001,0
General,0070,Begenmek,Like,User_7,002,0
General,0070,Begenmek,Like,User_7,003,0
General,0070,Begenmek,Like,User_7,004,0
General,0075,Benzemek,To look like,User_2,001,0
General,0075,Benzemek,To look like,User_2,002,0
General,0075,Benzemek,To look like,User_2,003,0
General,0075,Benzemek,To look like,User_2,004,0
General,0075,Benzemek,To look like,User_2,005,0
General,0075,Benzemek,To look like,User_2,006,0
General,0075,Benzemek,To look like,User_3,001,0
General,0075,Benzemek,To look like,User_3,002,0
General,0075,Benzemek,To look like,User_3,003,0
General,0075,Benzemek,To look like,User_4,001,0
General,0075,Benzemek,To look like,User_4,002,0
General,0075,Benzemek,To look like,User_4,003,0
General,0075,Benzemek,To look like,User_4,004,0
General,0075,Benzemek,To look like,User_4,005,0
General,0075,Benzemek,To look like,User_5,001,0
General,0075,Benzemek,To look like,User_5,002,0
General,0075,Benzemek,To look like,User_5,003,0
General,0075,Benzemek,To look like,User_5,004,0
General,0075,Benzemek,To look like,User_5,005,0
General,0075,Benzemek,To look like,User_5,006,0
General,0075,Benzemek,To look like,User_6,001,0
General,0075,Benzemek,To look like,User_6,002,0
General,0075,Benzemek,To look like,User_6,003,0
General,0075,Benzemek,To look like,User_6,004,0
General,0075,Benzemek,To look like,User_6,005,0
General,0075,Benzemek,To look like,User_6,006,0
General,0075,Benzemek,To look like,User_7,001,0
General,0075,Benzemek,To look like,User_7,002,0
General,0075,Benzemek,To look like,User_7,003,0
General,0075,Benzemek,To look like,User_7,004,0
General,0085,Bir Sey Degil,You are welcome,User_2,001,0
General,0085,Bir Sey Degil,You are welcome,User_2,002,0
General,0085,Bir Sey Degil,You are welcome,User_2,003,0
General,0085,Bir Sey Degil,You are welcome,User_2,004,0
General,0085,Bir Sey Degil,You are welcome,User_2,005,0
General,0085,Bir Sey Degil,You are welcome,User_2,006,0
General,0085,Bir Sey Degil,You are welcome,User_3,001,0
General,0085,Bir Sey Degil,You are welcome,User_3,002,0
General,0085,Bir Sey Degil,You are welcome,User_3,003,0
General,0085,Bir Sey Degil,You are welcome,User_4,001,0
General,0085,Bir Sey Degil,You are welcome,User_4,002,0
General,0085,Bir Sey Degil,You are welcome,User_4,003,0
General,0085,Bir Sey Degil,You are welcome,User_4,004,0
General,0085,Bir Sey Degil,You are welcome,User_4,005,0
General,0085,Bir Sey Degil,You are welcome,User_5,001,0
General,0085,Bir Sey Degil,You are welcome,User_5,002,0
General,0085,Bir Sey Degil,You are welcome,User_5,003,0
General,0085,Bir Sey Degil,You are welcome,User_5,004,0
General,0085,Bir Sey Degil,You are welcome,User_5,005,0
General,0085,Bir Sey Degil,You are welcome,User_5,006,0
General,0085,Bir Sey Degil,You are welcome,User_5,007,0
General,0085,Bir Sey Degil,You are welcome,User_6,001,0
General,0085,Bir Sey Degil,You are welcome,User_6,002,0
General,0085,Bir Sey Degil,You are welcome,User_6,003,0
General,0085,Bir Sey Degil,You are welcome,User_6,004,0
General,0085,Bir Sey Degil,You are welcome,User_6,005,0
General,0085,Bir Sey Degil,You are welcome,User_6,006,0
General,0085,Bir Sey Degil,You are welcome,User_7,001,0
General,0085,Bir Sey Degil,You are welcome,User_7,002,0
General,0085,Bir Sey Degil,You are welcome,User_7,003,0
General,0085,Bir Sey Degil,You are welcome,User_7,004,0
General,0085,Bir Sey Degil,You are welcome,User_7,005,0
General,0108,Cagirmak,"Invite, call",User_2,001,0
General,0108,Cagirmak,"Invite, call",User_2,002,0
General,0108,Cagirmak,"Invite, call",User_2,003,0
General,0108,Cagirmak,"Invite, call",User_2,004,0
General,0108,Cagirmak,"Invite, call",User_2,005,0
General,0108,Cagirmak,"Invite, call",User_2,006,0
General,0108,Cagirmak,"Invite, call",User_2,007,0
General,0108,Cagirmak,"Invite, call",User_3,001,0
General,0108,Cagirmak,"Invite, call",User_3,002,0
General,0108,Cagirmak,"Invite, call",User_3,003,0
General,0108,Cagirmak,"Invite, call",User_4,001,0
General,0108,Cagirmak,"Invite, call",User_4,002,0
General,0108,Cagirmak,"Invite, call",User_4,003,0
General,0108,Cagirmak,"Invite, call",User_4,004,0
General,0108,Cagirmak,"Invite, call",User_4,005,0
General,0108,Cagirmak,"Invite, call",User_5,001,0
General,0108,Cagirmak,"Invite, call",User_5,002,0
General,0108,Cagirmak,"Invite, call",User_5,003,0
General,0108,Cagirmak,"Invite, call",User_5,004,0
General,0108,Cagirmak,"Invite, call",User_5,005,0
General,0108,Cagirmak,"Invite, call",User_5,006,0
General,0108,Cagirmak,"Invite, call",User_6,001,0
General,0108,Cagirmak,"Invite, call",User_6,002,0
General,0108,Cagirmak,"Invite, call",User_6,003,0
General,0108,Cagirmak,"Invite, call",User_6,004,0
General,0108,Cagirmak,"Invite, call",User_6,005,0
General,0108,Cagirmak,"Invite, call",User_6,006,0
General,0108,Cagirmak,"Invite, call",User_7,001,0
General,0108,Cagirmak,"Invite, call",User_7,002,0
General,0108,Cagirmak,"Invite, call",User_7,003,0
General,0108,Cagirmak,"Invite, call",User_7,004,0
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,001,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,002,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,003,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,004,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,005,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_2,006,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_3,001,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_3,002,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_3,003,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_3,004,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_4,001,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_4,002,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_4,003,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_4,004,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_4,005,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_5,001,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_5,002,1
General,0110,Calmak(Hirsizlik),Stealing (Theft),User_5,003,1
