SubsetID,ClassID,ClassName_tr,ClassName_eng,UserID,RepeatID
General,0,Arkadas,Friend,User_2,001
General,0,Arkadas,Friend,User_2,002
General,0,Arkadas,Friend,User_2,003
General,0,Arkadas,Friend,User_2,004
General,0,Arkadas,Friend,User_2,005
General,0,Arkadas,Friend,User_2,006
General,0,Arkadas,Friend,User_3,001
General,0,Arkadas,Friend,User_3,002
General,0,Arkadas,Friend,User_3,003
General,0,Arkadas,Friend,User_4,001
General,0,Arkadas,Friend,User_4,002
General,0,Arkadas,Friend,User_4,003
General,0,Arkadas,Friend,User_4,004
General,0,Arkadas,Friend,User_4,005
General,0,Arkadas,Friend,User_5,001
General,0,Arkadas,Friend,User_5,002
General,0,Arkadas,Friend,User_5,003
General,0,Arkadas,Friend,User_5,004
General,0,Arkadas,Friend,User_5,005
General,0,Arkadas,Friend,User_5,006
General,0,Arkadas,Friend,User_6,001
General,0,Arkadas,Friend,User_6,002
General,0,Arkadas,Friend,User_6,003
General,0,Arkadas,Friend,User_6,004
General,0,Arkadas,Friend,User_6,005
General,0,Arkadas,Friend,User_6,006
General,0,Arkadas,Friend,User_7,001
General,0,Arkadas,Friend,User_7,002
General,0,Arkadas,Friend,User_7,003
General,0,Arkadas,Friend,User_7,004
General,0,Arkadas,Friend,User_7,005
General,0,Begenmek,Like,User_2,001
General,0,Begenmek,Like,User_2,002
General,0,Begenmek,Like,User_2,003
General,0,Begenmek,Like,User_2,004
General,0,Begenmek,Like,User_2,005
General,0,Begenmek,Like,User_2,006
General,0,Begenmek,Like,User_3,001
General,0,Begenmek,Like,User_3,002
General,0,Begenmek,Like,User_3,003
General,0,Begenmek,Like,User_4,001
General,0,Begenmek,Like,User_4,002
General,0,Begenmek,Like,User_4,003
General,0,Begenmek,Like,User_4,004
General,0,Begenmek,Like,User_4,005
General,0,Begenmek,Like,User_5,001
General,0,Begenmek,Like,User_5,002
General,0,Begenmek,Like,User_5,003
General,0,Begenmek,Like,User_5,004
General,0,Begenmek,Like,User_5,005
General,0,Begenmek,Like,User_5,006
General,0,Begenmek,Like,User_6,001
General,0,Begenmek,Like,User_6,002
General,0,Begenmek,Like,User_6,003
General,0,Begenmek,Like,User_6,004
General,0,Begenmek,Like,User_6,005
General,0,Begenmek,Like,User_6,006
General,0,Begenmek,Like,User_7,001
General,0,Begenmek,Like,User_7,002
General,0,Begenmek,Like,User_7,003
General,0,Begenmek,Like,User_7,004
General,0,Benzemek,To look like,User_2,001
General,0,Benzemek,To look like,User_2,002
General,0,Benzemek,To look like,User_2,003
General,0,Benzemek,To look like,User_2,004
General,0,Benzemek,To look like,User_2,005
General,0,Benzemek,To look like,User_2,006
General,0,Benzemek,To look like,User_3,001
General,0,Benzemek,To look like,User_3,002
General,0,Benzemek,To look like,User_3,003
General,0,Benzemek,To look like,User_4,001
General,0,Benzemek,To look like,User_4,002
General,0,Benzemek,To look like,User_4,003
General,0,Benzemek,To look like,User_4,004
General,0,Benzemek,To look like,User_4,005
General,0,Benzemek,To look like,User_5,001
General,0,Benzemek,To look like,User_5,002
General,0,Benzemek,To look like,User_5,003
General,0,Benzemek,To look like,User_5,004
General,0,Benzemek,To look like,User_5,005
General,0,Benzemek,To look like,User_5,006
General,0,Benzemek,To look like,User_6,001
General,0,Benzemek,To look like,User_6,002
General,0,Benzemek,To look like,User_6,003
General,0,Benzemek,To look like,User_6,004
General,0,Benzemek,To look like,User_6,005
General,0,Benzemek,To look like,User_6,006
General,0,Benzemek,To look like,User_7,001
General,0,Benzemek,To look like,User_7,002
General,0,Benzemek,To look like,User_7,003
General,0,Benzemek,To look like,User_7,004
General,0,Bir Sey Degil,You are welcome,User_2,001
General,0,Bir Sey Degil,You are welcome,User_2,002
General,0,Bir Sey Degil,You are welcome,User_2,003
General,0,Bir Sey Degil,You are welcome,User_2,004
General,0,Bir Sey Degil,You are welcome,User_2,005
General,0,Bir Sey Degil,You are welcome,User_2,006
General,0,Bir Sey Degil,You are welcome,User_3,001
General,0,Bir Sey Degil,You are welcome,User_3,002
General,0,Bir Sey Degil,You are welcome,User_3,003
General,0,Bir Sey Degil,You are welcome,User_4,001
